Case_Main_Type,Secondary_Type,Case_sub_type,Location,person_ID,Lawyer_ID_1,Lawyer_ID_2,Judge_ID,Case_ID
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,53,629584317,629641055,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,54,878759624,878816362,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,55,858695741,858752479,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,56,123456745,123513483,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,57,555968574,556025312,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,58,441236589,441293327,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,59,451263965,451320703,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,60,441663723,441720461,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,61,404160630,404217368,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,62,745263965,745320703,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,63,876521439,876578177,,
זיקה לחוק השבות,פלשמורה,,Haifa,64,112445963,112502701,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,65,232695804,232752542,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,66,152683596,152740334,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,67,965687452,965744190,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,68,569235681,569292419,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,69,589631405,589688143,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,70,526384560,526441298,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,71,229985636,230042374,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,72,778596402,778653140,,
התאזרחות,אי מתן מענה,,Haifa,73,639685502,639742240,,
זיקה לחוק השבות,פלשמורה,,Haifa,74,490365804,490422542,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,75,87799888,87856626,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,76,234568505,234625243,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,77,369595806,369652544,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,78,206085401,206142139,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,79,309085605,309142343,,
הרחקה מישראל,אי מתן מענה,,Haifa,80,805263506,805320244,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,81,123456789,123513527,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,82,852964371,853021109,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,83,784554872,784611610,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,84,306295841,306352579,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,85,629584317,629641055,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,86,878759624,878816362,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,87,858695741,858752479,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,88,123456745,123513483,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,89,555968574,556025312,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,90,441236589,441293327,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,91,451263965,451320703,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,92,441663723,441720461,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,93,404160630,404217368,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,94,745263965,745320703,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,95,876521439,876578177,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,96,112445963,112502701,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,97,232695804,232752542,,
זיקה לחוק השבות,פלשמורה,,Haifa,98,152683596,152740334,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,99,965687452,965744190,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,100,569235681,569292419,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,101,589631405,589688143,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,102,526384560,526441298,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,103,229985636,230042374,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,104,778596402,778653140,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,105,639685502,639742240,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,106,490365804,490422542,,
התאזרחות,אי מתן מענה,,Haifa,107,87799888,87856626,,
זיקה לחוק השבות,פלשמורה,,Haifa,108,234568505,234625243,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,109,369595806,369652544,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,110,206085401,206142139,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,111,309085605,309142343,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,112,805263506,805320244,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,113,123456789,123513527,,
הרחקה מישראל,אי מתן מענה,,Haifa,114,852964371,853021109,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,115,784554872,784611610,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,116,306295841,306352579,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,117,629584317,629641055,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,118,878759624,878816362,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,119,858695741,858752479,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,120,123456745,123513483,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,121,555968574,556025312,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,122,441236589,441293327,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,123,451263965,451320703,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,124,441663723,441720461,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,125,404160630,404217368,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,126,745263965,745320703,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,127,876521439,876578177,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,128,112445963,112502701,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,129,232695804,232752542,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,130,152683596,152740334,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,131,965687452,965744190,,
זיקה לחוק השבות,פלשמורה,,Haifa,132,569235681,569292419,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,133,589631405,589688143,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,134,526384560,526441298,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,135,229985636,230042374,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,136,778596402,778653140,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,137,639685502,639742240,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,138,490365804,490422542,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,139,87799888,87856626,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,140,234568505,234625243,,
התאזרחות,אי מתן מענה,,Haifa,141,369595806,369652544,,
זיקה לחוק השבות,פלשמורה,,Haifa,142,206085401,206142139,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,143,309085605,309142343,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,144,805263506,805320244,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,145,123456789,123513527,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,146,852964371,853021109,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,147,784554872,784611610,,
הרחקה מישראל,אי מתן מענה,,Haifa,148,306295841,306352579,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,149,629584317,629641055,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,150,878759624,878816362,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,151,858695741,858752479,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,152,123456745,123513483,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,153,555968574,556025312,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,154,441236589,441293327,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,155,451263965,451320703,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,156,441663723,441720461,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,157,404160630,404217368,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,158,745263965,745320703,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,159,876521439,876578177,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,160,112445963,112502701,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,161,232695804,232752542,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,162,152683596,152740334,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,163,965687452,965744190,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,164,569235681,569292419,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,165,589631405,589688143,,
זיקה לחוק השבות,פלשמורה,,Haifa,166,526384560,526441298,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,167,229985636,230042374,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,168,778596402,778653140,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,169,639685502,639742240,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,170,490365804,490422542,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,171,87799888,87856626,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,172,234568505,234625243,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,173,369595806,369652544,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,174,206085401,206142139,,
התאזרחות,אי מתן מענה,,Haifa,175,309085605,309142343,,
זיקה לחוק השבות,פלשמורה,,Haifa,176,805263506,805320244,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,177,123456789,123513527,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,178,852964371,853021109,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,179,784554872,784611610,,
עבודה )לרבות ענף הסיעוד( ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,Beer Sheva,180,306295841,306352579,,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,Beer Sheva,181,629584317,629641055,,
הרחקה מישראל,אי מתן מענה,,Haifa,182,878759624,878816362,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Tel Aviv,183,858695741,858752479,,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,Jerusalem,184,123456745,123513483,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,Jerusalem,185,555968574,556025312,,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,186,441236589,441293327,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Jerusalem,187,451263965,451320703,,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,Jerusalem,188,441663723,441720461,,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,Jerusalem,189,404160630,404217368,,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,Tel Aviv,190,745263965,745320703,,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,Tel Aviv,191,876521439,876578177,,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,Jerusalem,192,112445963,112502701,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,193,232695804,232752542,,
הרחקה מישראל,אי מתן מענה,,Tel Aviv,194,152683596,152740334,,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,Beer Sheva,195,965687452,965744190,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,Jerusalem,196,569235681,569292419,,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,Jerusalem,197,589631405,589688143,,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Jerusalem,198,526384560,526441298,,
עבודה )לרבות ענף הסיעוד( ולימודים,בקשת עובד זר לעבור בין ענפים,,Haifa,199,229985636,230042374,,
זיקה לחוק השבות,פלשמורה,,Haifa,200,778596402,778653140,,
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,Tel Aviv,201,639685502,639742240,,
כניסה לישראל,אי מתן מענה,,Tel Aviv,202,490365804,490422542,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,203,87799888,87856626,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,204,234568505,234625243,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,Tel Aviv,205,369595806,369652544,,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,Jerusalem,206,206085401,206142139,,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,Jerusalem,207,309085605,309142343,,
עבודה )לרבות ענף הסיעוד( ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,Beer Sheva,208,805263506,805320244,,
התאזרחות,אי מתן מענה,,Haifa,209,123456789,123513527,,
זיקה לחוק השבות,פלשמורה,,Haifa,210,852964371,853021109,,
הומניטרי,מעמד ילדי זרים,got Jerusalem,Jerusalem,211,784554872,784611610,,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,Tel Aviv,212,306295841,306352579,,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,Tel Aviv,213,629584317,629641055,,
